Epoch 1/10 : 0% | Batch 100(1) : 0% | Loss 3932.8759143066404
Epoch 1/10 : 0% | Batch 200(1) : 0% | Loss 1601.6558935546875
Epoch 1/10 : 0% | Batch 300(1) : 0% | Loss 1478.3840203857421
Epoch 1/10 : 0% | Batch 400(1) : 0% | Loss 1230.6913055419923
Epoch 1/10 : 0% | Batch 500(1) : 0% | Loss 1102.7077514648438
Epoch 1/10 : 0% | Batch 600(1) : 0% | Loss 1052.886796875
Epoch 1/10 : 0% | Batch 700(1) : 0% | Loss 895.2752429199219
Epoch 1/10 : 0% | Batch 800(1) : 0% | Loss 898.3342419433594
Epoch 1/10 : 0% | Batch 900(1) : 0% | Loss 847.8534963989258
Epoch 1/10 : 0% | Batch 1000(1) : 0% | Loss 825.0864767456055
Epoch 1/10 : 0% | Batch 1100(1) : 0% | Loss 759.0291491699219
Epoch 1/10 : 0% | Batch 1200(1) : 0% | Loss 776.472688293457
Epoch 1/10 : 0% | Batch 1300(1) : 0% | Loss 775.2786688232422
Epoch 1/10 : 0% | Batch 1400(1) : 1% | Loss 741.510258178711
Epoch 1/10 : 0% | Batch 1500(1) : 1% | Loss 789.9956338500976
Epoch 1/10 : 0% | Batch 1600(1) : 1% | Loss 756.3808135986328
Epoch 1/10 : 0% | Batch 1700(1) : 1% | Loss 709.4628137207031
Epoch 1/10 : 0% | Batch 1800(1) : 1% | Loss 661.163452758789
Epoch 1/10 : 0% | Batch 1900(1) : 1% | Loss 653.984690246582
Epoch 1/10 : 0% | Batch 2000(1) : 1% | Loss 712.4130334472657
Epoch 1/10 : 0% | Batch 2100(1) : 1% | Loss 704.7581661987305
Epoch 1/10 : 0% | Batch 2200(1) : 1% | Loss 585.8229626464844
Epoch 1/10 : 0% | Batch 2300(1) : 1% | Loss 629.7260873413086
Epoch 1/10 : 0% | Batch 2400(1) : 1% | Loss 609.6592395019532
Epoch 1/10 : 0% | Batch 2500(1) : 1% | Loss 615.1175866699218
Epoch 1/10 : 0% | Batch 2600(1) : 2% | Loss 616.4856762695313
Epoch 1/10 : 0% | Batch 2700(1) : 2% | Loss 600.1927795410156
Epoch 1/10 : 0% | Batch 2800(1) : 2% | Loss 570.1684466552734
Epoch 1/10 : 0% | Batch 2900(1) : 2% | Loss 554.6840795898438
Epoch 1/10 : 0% | Batch 3000(1) : 2% | Loss 572.5352267456054
Epoch 1/10 : 0% | Batch 3100(1) : 2% | Loss 527.9859552001953
Epoch 1/10 : 0% | Batch 3200(1) : 2% | Loss 526.939719543457
Epoch 1/10 : 0% | Batch 3300(1) : 2% | Loss 582.9347116088867
Epoch 1/10 : 0% | Batch 3400(1) : 2% | Loss 550.2922918701172
Epoch 1/10 : 0% | Batch 3500(1) : 2% | Loss 592.1033740234375
Epoch 1/10 : 0% | Batch 3600(1) : 2% | Loss 541.4627862548828
Epoch 1/10 : 0% | Batch 3700(1) : 2% | Loss 621.9490673828125
Epoch 1/10 : 0% | Batch 3800(1) : 2% | Loss 511.05291564941405
Epoch 1/10 : 0% | Batch 3900(1) : 3% | Loss 516.8350805664063
Epoch 1/10 : 0% | Batch 4000(1) : 3% | Loss 529.2519534301758
Epoch 1/10 : 0% | Batch 4100(1) : 3% | Loss 528.2683584594727
Epoch 1/10 : 0% | Batch 4200(1) : 3% | Loss 542.6612265014649
Epoch 1/10 : 0% | Batch 4300(1) : 3% | Loss 533.7200128173828
Epoch 1/10 : 0% | Batch 4400(1) : 3% | Loss 493.8764794921875
Epoch 1/10 : 0% | Batch 4500(1) : 3% | Loss 474.5852143859863
Epoch 1/10 : 0% | Batch 4600(1) : 3% | Loss 505.0262084960938
Epoch 1/10 : 0% | Batch 4700(1) : 3% | Loss 525.19615234375
Epoch 1/10 : 0% | Batch 4800(1) : 3% | Loss 520.9233795166016
