Epoch 1/10 : 0% | Batch 100(1) : 0% | Loss 3826.2211859130857
Epoch 1/10 : 0% | Batch 200(1) : 0% | Loss 1625.91728515625
Epoch 1/10 : 0% | Batch 300(1) : 0% | Loss 1542.270756225586
Epoch 1/10 : 0% | Batch 400(1) : 0% | Loss 1363.3736642456054
Epoch 1/10 : 0% | Batch 500(1) : 0% | Loss 1312.8979638671874
Epoch 1/10 : 0% | Batch 600(1) : 0% | Loss 1266.4564752197266
Epoch 1/10 : 0% | Batch 700(1) : 0% | Loss 1079.7119177246093
Epoch 1/10 : 0% | Batch 800(1) : 0% | Loss 1096.695316772461
Epoch 1/10 : 0% | Batch 900(1) : 0% | Loss 1059.5878631591797
Epoch 1/10 : 0% | Batch 1000(1) : 0% | Loss 1041.6207397460937
Epoch 1/10 : 0% | Batch 1100(1) : 0% | Loss 981.4659851074218
Epoch 1/10 : 0% | Batch 1200(1) : 0% | Loss 950.8641403198242
Epoch 1/10 : 0% | Batch 1300(1) : 0% | Loss 906.7963653564453
Epoch 1/10 : 0% | Batch 1400(1) : 1% | Loss 939.1844738769531
Epoch 1/10 : 0% | Batch 1500(1) : 1% | Loss 985.4787170410157
Epoch 1/10 : 0% | Batch 1600(1) : 1% | Loss 976.3598049926758
Epoch 1/10 : 0% | Batch 1700(1) : 1% | Loss 940.0021624755859
Epoch 1/10 : 0% | Batch 1800(1) : 1% | Loss 843.8532870483399
Epoch 1/10 : 0% | Batch 1900(1) : 1% | Loss 789.2153515625
Epoch 1/10 : 0% | Batch 2000(1) : 1% | Loss 845.5650769042969
Epoch 1/10 : 0% | Batch 2100(1) : 1% | Loss 868.5021807861328
Epoch 1/10 : 0% | Batch 2200(1) : 1% | Loss 796.9789361572266
Epoch 1/10 : 0% | Batch 2300(1) : 1% | Loss 801.2089184570312
Epoch 1/10 : 0% | Batch 2400(1) : 1% | Loss 831.700470275879
Epoch 1/10 : 0% | Batch 2500(1) : 1% | Loss 786.3619519042969
Epoch 1/10 : 0% | Batch 2600(1) : 2% | Loss 808.9638760375976
Epoch 1/10 : 0% | Batch 2700(1) : 2% | Loss 813.9496002197266
Epoch 1/10 : 0% | Batch 2800(1) : 2% | Loss 834.0650750732422
Epoch 1/10 : 0% | Batch 2900(1) : 2% | Loss 799.0600317382813
Epoch 1/10 : 0% | Batch 3000(1) : 2% | Loss 781.9196432495118
Epoch 1/10 : 0% | Batch 3100(1) : 2% | Loss 772.2350726318359
Epoch 1/10 : 0% | Batch 3200(1) : 2% | Loss 733.701383972168
Epoch 1/10 : 0% | Batch 3300(1) : 2% | Loss 831.7236080932618
Epoch 1/10 : 0% | Batch 3400(1) : 2% | Loss 833.0315100097656
Epoch 1/10 : 0% | Batch 3500(1) : 2% | Loss 782.8937854003906
Epoch 1/10 : 0% | Batch 3600(1) : 2% | Loss 745.5782107543945
Epoch 1/10 : 0% | Batch 3700(1) : 2% | Loss 797.5089987182618
Epoch 1/10 : 0% | Batch 3800(1) : 2% | Loss 768.231967163086
Epoch 1/10 : 0% | Batch 3900(1) : 3% | Loss 790.2095593261719
Epoch 1/10 : 0% | Batch 4000(1) : 3% | Loss 752.4326715087891
Epoch 1/10 : 0% | Batch 4100(1) : 3% | Loss 812.3161343383789
Epoch 1/10 : 0% | Batch 4200(1) : 3% | Loss 796.6415142822266
Epoch 1/10 : 0% | Batch 4300(1) : 3% | Loss 841.1731057739257
Epoch 1/10 : 0% | Batch 4400(1) : 3% | Loss 814.9150738525391
Epoch 1/10 : 0% | Batch 4500(1) : 3% | Loss 790.285521850586
Epoch 1/10 : 0% | Batch 4600(1) : 3% | Loss 809.9231369018555
Epoch 1/10 : 0% | Batch 4700(1) : 3% | Loss 792.7074612426758
Epoch 1/10 : 0% | Batch 4800(1) : 3% | Loss 816.7663775634766
Epoch 1/10 : 0% | Batch 4900(1) : 3% | Loss 788.3299911499023
Epoch 1/10 : 0% | Batch 5000(1) : 3% | Loss 803.3549661254883
Epoch 1/10 : 0% | Batch 5100(1) : 3% | Loss 783.6102368164062
Epoch 1/10 : 0% | Batch 5200(1) : 4% | Loss 780.9002078247071
Epoch 1/10 : 0% | Batch 5300(1) : 4% | Loss 798.0797082519531
Epoch 1/10 : 0% | Batch 5400(1) : 4% | Loss 776.355256652832
Epoch 1/10 : 0% | Batch 5500(1) : 4% | Loss 745.7337536621094
Epoch 1/10 : 0% | Batch 5600(1) : 4% | Loss 749.704372253418
Epoch 1/10 : 0% | Batch 5700(1) : 4% | Loss 769.8708645629882
Epoch 1/10 : 0% | Batch 5800(1) : 4% | Loss 748.2744787597657
Epoch 1/10 : 0% | Batch 5900(1) : 4% | Loss 769.3376110839844
Epoch 1/10 : 0% | Batch 6000(1) : 4% | Loss 763.5323922729492
Epoch 1/10 : 0% | Batch 6100(1) : 4% | Loss 792.8326373291015
Epoch 1/10 : 0% | Batch 6200(1) : 4% | Loss 759.7206701660157
Epoch 1/10 : 0% | Batch 6300(1) : 4% | Loss 725.9258483886719
Epoch 1/10 : 0% | Batch 6400(1) : 4% | Loss 785.8208898925782
Epoch 1/10 : 0% | Batch 6500(1) : 5% | Loss 739.3123171997071
Epoch 1/10 : 0% | Batch 6600(1) : 5% | Loss 798.0775497436523
Epoch 1/10 : 0% | Batch 6700(1) : 5% | Loss 807.0631155395508
Epoch 1/10 : 0% | Batch 6800(1) : 5% | Loss 752.9032464599609
Epoch 1/10 : 0% | Batch 6900(1) : 5% | Loss 785.0018972778321
Epoch 1/10 : 0% | Batch 7000(1) : 5% | Loss 729.3235000610351
Epoch 1/10 : 0% | Batch 7100(1) : 5% | Loss 745.3887570190429
Epoch 1/10 : 0% | Batch 7200(1) : 5% | Loss 772.4633526611328
Epoch 1/10 : 0% | Batch 7300(1) : 5% | Loss 775.5271697998047
Epoch 1/10 : 0% | Batch 7400(1) : 5% | Loss 809.7753540039063
Epoch 1/10 : 0% | Batch 7500(1) : 5% | Loss 776.301162109375
Epoch 1/10 : 0% | Batch 7600(1) : 5% | Loss 800.1080325317383
Epoch 1/10 : 0% | Batch 7700(1) : 5% | Loss 796.5622677612305
Epoch 1/10 : 0% | Batch 7800(1) : 6% | Loss 743.3923651123047
Epoch 1/10 : 0% | Batch 7900(1) : 6% | Loss 811.9851229858399
Epoch 1/10 : 0% | Batch 8000(1) : 6% | Loss 825.3142932128907
Epoch 1/10 : 0% | Batch 8100(1) : 6% | Loss 778.5340197753907
Epoch 1/10 : 0% | Batch 8200(1) : 6% | Loss 784.0684637451172
Epoch 1/10 : 0% | Batch 8300(1) : 6% | Loss 766.6403695678711
Epoch 1/10 : 0% | Batch 8400(1) : 6% | Loss 775.8909698486328
Epoch 1/10 : 0% | Batch 8500(1) : 6% | Loss 752.6770611572266
Epoch 1/10 : 0% | Batch 8600(1) : 6% | Loss 792.702126159668
Epoch 1/10 : 0% | Batch 8700(1) : 6% | Loss 748.4741122436524
Epoch 1/10 : 0% | Batch 8800(1) : 6% | Loss 793.0098181152343
Epoch 1/10 : 0% | Batch 8900(1) : 6% | Loss 791.4413143920898
Epoch 1/10 : 0% | Batch 9000(1) : 6% | Loss 752.3695388793946
Epoch 1/10 : 0% | Batch 9100(1) : 7% | Loss 772.0992559814454
Epoch 1/10 : 0% | Batch 9200(1) : 7% | Loss 753.3907165527344
Epoch 1/10 : 0% | Batch 9300(1) : 7% | Loss 748.762978515625
Epoch 1/10 : 0% | Batch 9400(1) : 7% | Loss 719.8817428588867
Epoch 1/10 : 0% | Batch 9500(1) : 7% | Loss 778.3266354370118
Epoch 1/10 : 0% | Batch 9600(1) : 7% | Loss 769.8863049316407
Epoch 1/10 : 0% | Batch 9700(1) : 7% | Loss 794.4014611816406
Epoch 1/10 : 0% | Batch 9800(1) : 7% | Loss 789.267827758789
Epoch 1/10 : 0% | Batch 9900(1) : 7% | Loss 750.7007559204102
Epoch 1/10 : 0% | Batch 10000(1) : 7% | Loss 764.9573837280274
Epoch 1/10 : 0% | Batch 10100(1) : 7% | Loss 742.7736917114257
Epoch 1/10 : 0% | Batch 10200(1) : 7% | Loss 777.1754598999023
Epoch 1/10 : 0% | Batch 10300(1) : 7% | Loss 754.0207131958008
Epoch 1/10 : 0% | Batch 10400(1) : 8% | Loss 792.4495919799805
Epoch 1/10 : 0% | Batch 10500(1) : 8% | Loss 758.4657470703125
Epoch 1/10 : 0% | Batch 10600(1) : 8% | Loss 788.3359732055665
Epoch 1/10 : 0% | Batch 10700(1) : 8% | Loss 757.527724609375
Epoch 1/10 : 0% | Batch 10800(1) : 8% | Loss 765.2669833374024
Epoch 1/10 : 0% | Batch 10900(1) : 8% | Loss 728.3594299316406
Epoch 1/10 : 0% | Batch 11000(1) : 8% | Loss 762.1369735717774
Epoch 1/10 : 0% | Batch 11100(1) : 8% | Loss 796.2166213989258
Epoch 1/10 : 0% | Batch 11200(1) : 8% | Loss 841.1368923950196
Epoch 1/10 : 0% | Batch 11300(1) : 8% | Loss 745.1891976928711
Epoch 1/10 : 0% | Batch 11400(1) : 8% | Loss 741.1510223388672
Epoch 1/10 : 0% | Batch 11500(1) : 8% | Loss 786.9826156616211
Epoch 1/10 : 0% | Batch 11600(1) : 8% | Loss 724.6865893554688
Epoch 1/10 : 0% | Batch 11700(1) : 9% | Loss 756.1611120605469
Epoch 1/10 : 0% | Batch 11800(1) : 9% | Loss 738.1103582763672
Epoch 1/10 : 0% | Batch 11900(1) : 9% | Loss 717.4302703857422
Epoch 1/10 : 0% | Batch 12000(1) : 9% | Loss 714.0486828613281
Epoch 1/10 : 0% | Batch 12100(1) : 9% | Loss 761.3023645019531
Epoch 1/10 : 0% | Batch 12200(1) : 9% | Loss 730.6628176879883
